Word, Color, Selected Color, Time
LEBENDIG, red, NA, NA
FREUND, green, green, 1.659043788909912, True
ANGST, blue, blue, 0.7493603229522705, True
HEILUNG, green, green, 0.6356399059295654, True
AUSSAGE, red, red, 0.8163552284240723, True
FRIEDEN, green, green, 0.7868754863739014, True
sound, blue, blue, 0.9941377639770508, True
TOTE, green, green, 0.8194279670715332, True
QUAL, green, red, 0.7950031757354736, False
FREIHEIT, blue, blue, 0.7548828125, True
KARTON, red, red, 0.7398889064788818, True
GRANATE, green, red, 0.68869948387146, False
GLÜCK, blue, green, 0.5674529075622559, False
music, green, blue, 0.38025593757629395, False
uhoh, red, red, 0.27762484550476074, True
action, blue, blue, 0.21643447875976562, True
HEILUNG, red, green, 0.15250802040100098, False
